"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"Reviewed in the United States on December 29, 2020","Rita","yes","-","Recommend this device!","I luv this small camera! Easy set up and good quality pic. I also luv that l can talk to my dogs and watch what they do when l am work. I recommend this camera.","5","-","-","https://www.amazon.com/gp/customer-reviews/RUZLOVAEZ0XJS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","-","-"
"Reviewed in the United States on August 6, 2020","Young Han Kim","yes","yes","Motion detected but No video recordings","Motion detected but No video recordings","1","-","-","https://www.amazon.com/gp/customer-reviews/R3RZLUDWIVXPO7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","-","-"
"Reviewed in the United States on January 25, 2021","Mario A.","yes","-","Good camera for the price","Overall this product is good. The only 2 Cons are that the speaker when you speak is not loud enough. The other is there are no other products to co-mingle on the same app.","4","-","-","https://www.amazon.com/gp/customer-reviews/R2RUYV6HUWXAHT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","-","-"
"Reviewed in the United States on March 1, 2021","T. Atencio","yes","-","A great value","Love the camera quality. Very detailed. A little better instructions to set it up but with a little persistence I figured it out. As far as the price, I highly recommend it.","5","-","-","https://www.amazon.com/gp/customer-reviews/R2LM30L7VHBHJ6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","-","-"
"Reviewed in the United States on November 14, 2020","denny branham","yes","-","Perfect","Perfect","5","-","-","https://www.amazon.com/gp/customer-reviews/R1RRBVHPONKLKB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","-","-"
"Reviewed in the United States on September 25, 2020","Amazon Customer","yes","yes","Sub-par camera","The picture is not great and the audio is worse. It won't even pick up a normal conversation and anything that it will pick up and hear gets broken up.","2","-","-","https://www.amazon.com/gp/customer-reviews/R3MN79FFFXLHX4/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","B086VJN8RC","Size: 1-Pack with 32G SD"
"Reviewed in the United States on September 8, 2020","barbara atkins","yes","-","not recording","cam does not record like it suppose to does for a little but not 24 hours it has free cloud but not working right","4","-","-","https://www.amazon.com/gp/customer-reviews/R10FITFBX49MUW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","-","-"
"Reviewed in the United States on January 20, 2021","sandra kincaid","yes","-","Needed to change wifi settings","Immediately have to give exact location.  Never could get it to connect to the internet.","5","-","-","https://www.amazon.com/gp/customer-reviews/R3CBFSJTOMWBIF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","-","-"
"Reviewed in the United States on August 5, 2020","Charles","yes","yes","..Peace of mind is 'priceless'","Good value with 32gig SD card  format the card ...easy setup","5","-","-","https://www.amazon.com/gp/customer-reviews/RV4XBUQYF5VS9/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","B086VJN8RC","Size: 1-Pack with 32G SD"
"Reviewed in the United States on December 7, 2020","Ronald Smith","yes","-","use a good password","nice little camera I need to hook up convenient","5","https://images-na.ssl-images-amazon.com/images/I/81xf4wiHjWL.jpg","-","https://www.amazon.com/gp/customer-reviews/R1PLHQ9OXXIXUN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","-","-"
"Reviewed in the United States on August 25, 2020","Ricky","yes","-","Wireless cam","Working perfectly","5","-","-","https://www.amazon.com/gp/customer-reviews/R1F2FTQX6H27YB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","B086VJN8RC","Size: 1-Pack with 32G SD"
"Reviewed in the United States on October 12, 2020","Jo","yes","-","Don't waste your money!","Trash, don't waste your money.  I tried to connect step by step to three different phones and it was never possible.","1","-","-","https://www.amazon.com/gp/customer-reviews/R1WOXXJW1SMC6K/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","B086VJN8RC","Size: 1-Pack with 32G SD"
"Reviewed in the United States on January 13, 2021","Charise Vargo","yes","-","Great quality product!","I absolutely love this security camera!!! The quality of the pictures and videos are so clear.","5","-","-","https://www.amazon.com/gp/customer-reviews/R2D2V0RLEHOF1M/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","-","-"
"Reviewed in the United States on February 19, 2021","Frank N Szabo","yes","-","Arenti security camera","Overall I am very happy with this camera. Setup was very simple and the picture quality is very good and clear.","5","-","-","https://www.amazon.com/gp/customer-reviews/R16UQJ9D0WZR8A/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","-","-"
"Reviewed in the United States on July 7, 2020","dfwsig","yes","yes","Impressive and highly affordable camera","I gave this little camera 5 stars because of the price and what it does for this price. It is really amazing that something this affordable can be good. I have been using this for about a week now and I must repeat myself, I am impressed, so much so, I ordered a second that arrived yesterday. (The second one I ordered with and SD card when bundled, it is a really inexpensive SD card.)There are a few items during setup that are not as smooth as I would have hoped it would, but feel with time they will get the directions better. If this were a $100 camera, I would have given it only 4 stars, but this is a twenty-something $ camera and for this small investment, I still give it a 5.I will update this 5-star review in 6 months and let you know if my initial impression holds. I am actually going to place the second camera outside (covered but still outside) as I am curious how it will hold up. I am betting it will do well.","5","-","-","https://www.amazon.com/gp/customer-reviews/R3TS99BG9KA6M7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B086VJN8RC","-","-"
